; ISO 3166-2:RU
; Source: https://www.iso.org/obp/ui/#iso:code:3166:RU
; Extracted on: 20250629
; 
; Subdivision category 	3166-2 code 	Subdivision name 	Local variant 	Language code 	Romanization system 	Parent subdivision
republic 	RU-AD* 	Adygeya, Respublika 		ru 	BGN/PCGN 1947 	
republic 	RU-AL* 	Altay, Respublika 		ru 	BGN/PCGN 1947 	
administrative territory 	RU-ALT* 	Altayskiy kray 		ru 	BGN/PCGN 1947 	
administrative region 	RU-AMU* 	Amurskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative region 	RU-ARK* 	Arkhangel'skaya oblast' 		ru 	BGN/PCGN 1947 	
administrative region 	RU-AST* 	Astrakhanskaya oblast' 		ru 	BGN/PCGN 1947 	
republic 	RU-BA* 	Bashkortostan, Respublika 		ru 	BGN/PCGN 1947 	
administrative region 	RU-BEL* 	Belgorodskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative region 	RU-BRY* 	Bryanskaya oblast' 		ru 	BGN/PCGN 1947 	
republic 	RU-BU* 	Buryatiya, Respublika 		ru 	BGN/PCGN 1947 	
republic 	RU-CE* 	Chechenskaya Respublika 		ru 	BGN/PCGN 1947 	
administrative region 	RU-CHE* 	Chelyabinskaya oblast' 		ru 	BGN/PCGN 1947 	
autonomous district 	RU-CHU* 	Chukotskiy avtonomnyy okrug 		ru 	BGN/PCGN 1947 	
republic 	RU-CU* 	Chuvashskaya Respublika 		ru 	BGN/PCGN 1947 	
republic 	RU-DA* 	Dagestan, Respublika 		ru 	BGN/PCGN 1947 	
republic 	RU-IN* 	Ingushetiya, Respublika 		ru 	BGN/PCGN 1947 	
administrative region 	RU-IRK* 	Irkutskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative region 	RU-IVA* 	Ivanovskaya oblast' 		ru 	BGN/PCGN 1947 	
republic 	RU-KB* 	Kabardino-Balkarskaya Respublika 		ru 	BGN/PCGN 1947 	
administrative region 	RU-KGD* 	Kaliningradskaya oblast' 		ru 	BGN/PCGN 1947 	
republic 	RU-KL* 	Kalmykiya, Respublika 		ru 	BGN/PCGN 1947 	
administrative region 	RU-KLU* 	Kaluzhskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative territory 	RU-KAM* 	Kamchatskiy kray 		ru 	BGN/PCGN 1947 	
republic 	RU-KC* 	Karachayevo-Cherkesskaya Respublika 		ru 	BGN/PCGN 1947 	
republic 	RU-KR* 	Kareliya, Respublika 		ru 	BGN/PCGN 1947 	
administrative region 	RU-KEM* 	Kemerovskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative territory 	RU-KHA* 	Khabarovskiy kray 		ru 	BGN/PCGN 1947 	
republic 	RU-KK* 	Khakasiya, Respublika 		ru 	BGN/PCGN 1947 	
autonomous district 	RU-KHM* 	Khanty-Mansiyskiy avtonomnyy okrug 	Yugra 	ru 	BGN/PCGN 1947 	
administrative region 	RU-KIR* 	Kirovskaya oblast' 		ru 	BGN/PCGN 1947 	
republic 	RU-KO* 	Komi, Respublika 		ru 	BGN/PCGN 1947 	
administrative region 	RU-KOS* 	Kostromskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative territory 	RU-KDA* 	Krasnodarskiy kray 		ru 	BGN/PCGN 1947 	
administrative territory 	RU-KYA* 	Krasnoyarskiy kray 		ru 	BGN/PCGN 1947 	
administrative region 	RU-KGN* 	Kurganskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative region 	RU-KRS* 	Kurskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative region 	RU-LEN* 	Leningradskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative region 	RU-LIP* 	Lipetskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative region 	RU-MAG* 	Magadanskaya oblast' 		ru 	BGN/PCGN 1947 	
republic 	RU-ME* 	Mariy El, Respublika 		ru 	BGN/PCGN 1947 	
republic 	RU-MO* 	Mordoviya, Respublika 		ru 	BGN/PCGN 1947 	
administrative region 	RU-MOS* 	Moskovskaya oblast' 		ru 	BGN/PCGN 1947 	
autonomous city 	RU-MOW 	Moskva 		ru 	BGN/PCGN 1947 	
administrative region 	RU-MUR* 	Murmanskaya oblast' 		ru 	BGN/PCGN 1947 	
autonomous district 	RU-NEN* 	Nenetskiy avtonomnyy okrug 		ru 	BGN/PCGN 1947 	
administrative region 	RU-NIZ* 	Nizhegorodskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative region 	RU-NGR* 	Novgorodskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative region 	RU-NVS* 	Novosibirskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative region 	RU-OMS* 	Omskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative region 	RU-ORE* 	Orenburgskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative region 	RU-ORL* 	Orlovskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative region 	RU-PNZ* 	Penzenskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative territory 	RU-PER* 	Permskiy kray 		ru 	BGN/PCGN 1947 	
administrative territory 	RU-PRI* 	Primorskiy kray 		ru 	BGN/PCGN 1947 	
administrative region 	RU-PSK* 	Pskovskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative region 	RU-ROS* 	Rostovskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative region 	RU-RYA* 	Ryazanskaya oblast' 		ru 	BGN/PCGN 1947 	
republic 	RU-SA* 	Saha, Respublika 	Jakutija 	ru 	BGN/PCGN 1947 	
administrative region 	RU-SAK* 	Sakhalinskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative region 	RU-SAM* 	Samarskaya oblast' 		ru 	BGN/PCGN 1947 	
autonomous city 	RU-SPE* 	Sankt-Peterburg 		ru 	BGN/PCGN 1947 	
administrative region 	RU-SAR* 	Saratovskaya oblast' 		ru 	BGN/PCGN 1947 	
republic 	RU-SE* 	Severnaya Osetiya, Respublika 	Alaniya [Respublika Severnaya Osetiya Alaniya] 	ru 	BGN/PCGN 1947 	
administrative region 	RU-SMO* 	Smolenskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative territory 	RU-STA* 	Stavropol'skiy kray 		ru 	BGN/PCGN 1947 	
administrative region 	RU-SVE* 	Sverdlovskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative region 	RU-TAM* 	Tambovskaya oblast' 		ru 	BGN/PCGN 1947 	
republic 	RU-TA* 	Tatarstan, Respublika 		ru 	BGN/PCGN 1947 	
administrative region 	RU-TOM* 	Tomskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative region 	RU-TUL* 	Tul'skaya oblast' 		ru 	BGN/PCGN 1947 	
administrative region 	RU-TVE* 	Tverskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative region 	RU-TYU* 	Tyumenskaya oblast' 		ru 	BGN/PCGN 1947 	
republic 	RU-TY* 	Tyva, Respublika 	Tuva 	ru 	BGN/PCGN 1947 	
republic 	RU-UD* 	Udmurtskaya Respublika 		ru 	BGN/PCGN 1947 	
administrative region 	RU-ULY* 	Ul'yanovskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative region 	RU-VLA* 	Vladimirskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative region 	RU-VGG* 	Volgogradskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative region 	RU-VLG* 	Vologodskaya oblast' 		ru 	BGN/PCGN 1947 	
administrative region 	RU-VOR* 	Voronezhskaya oblast' 		ru 	BGN/PCGN 1947 	
autonomous district 	RU-YAN* 	Yamalo-Nenetskiy avtonomnyy okrug 		ru 	BGN/PCGN 1947 	
administrative region 	RU-YAR* 	Yaroslavskaya oblast' 		ru 	BGN/PCGN 1947 	
autonomous region 	RU-YEV* 	Yevreyskaya avtonomnaya oblast' 		ru 	BGN/PCGN 1947 	
administrative territory 	RU-ZAB* 	Zabaykal'skiy kray 		ru 	BGN/PCGN 1947 	
republic 	RU-CU* 	Čuvašskaja Respublika 		ru 	GOST 1983 = UN V/18 1987 	
